PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,TRAIT,AUC
1220,NDHWS17-0187-H64,1220,2,20,22,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,174,34,2,129.76,1,0.04018307,0.0426834,0.03028989,0.06707175,0.258454,0.2109422,0.8115346,0.1730896,0.7182047,0.5215572,6.649084,3.374228,0.6191006,NGRDI,13.72388486
1219,NDHWS17-0365-H50,1219,2,20,23,NDSW1379/B105'S'//NDSW14098,212,174,30,2,127.71,2,0.03973113,0.04255878,0.02956679,0.06864422,0.2633473,0.2276664,0.8091558,0.182643,0.7218575,0.5160767,6.754698,3.25546,0.6208111,NGRDI,14.15903041
1218,NDHWS17-0066-C35,1218,2,20,24,NDSW1379/NDSW1370,211,177,32,1,122.18,3,0.04239169,0.0488209,0.03302929,0.07841234,0.3005232,0.2311999,0.7699374,0.199949,0.7252329,0.5145423,6.203408,3.102303,0.641957,NGRDI,14.28735182
1217,NDHWS17-0187-H63,1217,2,20,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,177,29,1,122.35,4,0.04102401,0.04527701,0.03132793,0.07258578,0.2840364,0.2356915,0.7686266,0.2048142,0.7268835,0.5229463,6.909095,3.369868,0.626637,NGRDI,13.72704889
1216,NDHWS17-0187-C40,1216,2,20,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,176,30,1,120.72,5,0.04117987,0.04576127,0.03152938,0.07323291,0.279616,0.227814,0.7788253,0.1953242,0.7225489,0.5174651,6.44508,3.203334,0.6290675,NGRDI,13.84000239
1215,NDHWS17-0066-C39,1215,2,20,27,NDSW1379/NDSW1370,210,179,29,2,116.78,6,0.04325331,0.04981596,0.03475311,0.07833976,0.3018066,0.2051302,0.7836503,0.179516,0.7186787,0.5154575,5.956634,3.105701,0.6415864,NGRDI,13.56004167
1214,NDHWS17-0066-C31,1214,2,20,28,NDSW1379/NDSW1370,207,176,27,2,103.35,7,0.04348752,0.04515998,0.03251628,0.06982642,0.2344064,0.2000928,0.8517546,0.1531014,0.6957662,0.4878138,5.383764,2.757034,0.5962441,NGRDI,12.53175654
1213,NDHWS17-0362-A11,1213,2,20,29,NDSW1379/B104'S'//NDSW14098,207,176,26,1,93.2,8,0.0434768,0.04605053,0.0326135,0.07198913,0.2446166,0.2092582,0.8459184,0.1586312,0.6970532,0.4858832,5.334541,2.679358,0.613788,NGRDI,12.87200848
1212,NDHWS17-0083-C32,1212,2,20,30,NDSW14098/NDSW0601,205,175,26,1,95.01,9,0.04496016,0.04623413,0.03360561,0.07172465,0.2385189,0.1968783,0.8577528,0.1501008,0.6894865,0.4818249,5.410796,2.728578,0.5886353,NGRDI,12.4811814
1211,GLENN,1211,2,20,31,ND2831//PARSHALL/ND706,204,172,27,1,88.06,10,0.04628318,0.04787214,0.03398291,0.07528171,0.2367285,0.2079347,0.8598867,0.1529024,0.6948478,0.473847,4.965124,2.463822,0.6106993,NGRDI,13.65434452
1210,NDHWS17-0256-C50,1210,2,20,32,NDSW14098/NDSW0612,207,176,28,2,83.18,11,0.04456313,0.0451425,0.03261495,0.06982835,0.2177499,0.2001823,0.8792955,0.1433145,0.6827074,0.4660952,4.880701,2.437913,0.5699283,NGRDI,12.04263464
