"Plot","Row","Range","Block","Name","Trait_1","Trait_2"
1,1,1,1,"G78",506.98395,1.083
2,2,1,1,"G59",389.84385,1.065
3,3,1,1,"G15",525.0311,1.073
4,4,1,1,"G104",580.15265,1.074
5,5,1,1,"G125",582.261075,1.079
6,6,1,1,"G29",518.98715,1.07
7,7,1,1,"G77",283.008,1.076
8,8,1,1,"G10",493.23835,1.067
9,9,1,1,"FILL",NA,NA
10,10,1,1,"G85",471.8935179,1.088
11,11,1,1,"G1",407.1166,1.07
12,12,1,1,"G23",546.6054,1.072
13,13,1,1,"G105",418.3639821,1.061
14,14,1,1,"G101",574.8347,1.071
15,14,2,1,"G56",NA,1.07
16,13,2,1,"G44",356.2119,1.074
17,12,2,1,"G76",289.311,1.077
18,11,2,1,"G83",534.37835,1.078
19,10,2,1,"G62",483.72775,1.074
20,9,2,1,"G9",487.5574,1.065
21,8,2,1,"G136",566.5462,1.085
22,7,2,1,"G18",543.91315,1.072
23,6,2,1,"G126",455.4677679,1.078
24,5,2,1,"G79",627.627,1.088
25,4,2,1,"G84",435.83595,1.073
26,3,2,1,"G109",544.8025,1.071
27,2,2,1,"G82",548.93465,1.078
28,1,2,1,"G87",423.8751,1.088
29,1,3,1,"G60",424.47405,1.077
30,2,3,1,"G8",544.0281,1.087
31,3,3,1,"FILL",NA,NA
32,4,3,1,"G86",507.00815,1.076
33,5,3,1,"G57",NA,1.064
34,6,3,1,"G26",NA,NA
35,7,3,1,"G114",499.03425,1.072
36,8,3,1,"G34",NA,1.073
37,9,3,1,"G128",229.3313,1.065
38,10,3,1,"G22",531.432,1.072
39,11,3,1,"G37",NA,1.07
40,12,3,1,"G134",461.47585,1.083
41,13,3,1,"G139",551.3365,1.068
42,14,3,1,"FILL",NA,NA
43,14,4,1,"G32",348.7033846,1.072
44,13,4,1,"G6",494.94445,1.07
45,12,4,1,"G80",440.709225,1.071
46,11,4,1,"FILL",NA,NA
47,10,4,1,"G3",509.41,1.07
49,8,4,1,"G21",548.8681,1.072
50,7,4,1,"G68",532.62825,1.076
51,6,4,1,"G48",NA,1.074
52,5,4,1,"G90",476.9744375,1.075
53,4,4,1,"G107",583.7403,1.07
54,3,4,1,"G5",526.1564,1.081
55,2,4,1,"G19",415.1618036,1.066
56,1,4,1,"G132",578.4889,1.074
57,1,5,1,"G16",NA,1.08
58,2,5,1,"G81",NA,1.066
59,3,5,1,"G106",466.5397,1.073
60,4,5,1,"G55",494.2763571,1.069
61,5,5,1,"G33",462.69795,1.071
62,6,5,1,"G54",NA,1.06
63,7,5,1,"G93",510.9992885,1.067
64,8,5,1,"G51",334.3456875,1.066
65,9,5,1,"G103",307.57595,1.058
66,10,5,1,"G74",582.7965,1.077
67,11,5,1,"G97",448.89185,1.073
68,12,5,1,"G99",359.9982692,1.081
69,13,5,1,"G92",432.24225,1.067
70,14,5,1,"G36",391.117375,1.068
71,14,6,1,"G14",NA,1.071
72,13,6,1,"G43",NA,1.076
73,12,6,1,"G70",343.398,1.07
74,11,6,1,"G135",284.21085,1.071
75,10,6,1,"G123",561.83325,1.076
76,9,6,1,"G117",466.25535,1.071
77,8,6,1,"FILL",NA,NA
78,7,6,1,"G38",NA,NA
79,6,6,1,"G4",426.0047,1.062
80,5,6,1,"G66",658.86315,1.072
81,4,6,1,"G131",481.0279375,1.081
82,3,6,1,"G65",429.85855,1.069
83,2,6,1,"G69",373.648,1.075
84,1,6,1,"G121",692.8892143,1.069
85,1,7,1,"G30",421.685,1.061
86,2,7,1,"G88",487.899225,1.08
87,3,7,1,"G28",312.18605,1.08
88,4,7,1,"G13",402.87555,1.067
89,5,7,1,"G20",466.96925,1.072
90,6,7,1,"G98",317.69155,1.065
91,7,7,1,"G75",237.8134,1.084
92,8,7,1,"G127",449.6844,1.067
93,9,7,1,"G52",NA,1.064
94,10,7,1,"G102",271.0767321,1.067
95,11,7,1,"G40",311.03655,1.073
96,12,7,1,"G89",NA,1.065
97,13,7,1,"G138",469.4195,1.077
98,14,7,1,"G31",341.79475,1.074
99,14,8,2,"G71",513.92935,1.072
100,13,8,2,"G17",NA,1.082
101,12,8,2,"G104",530.1373,1.073
102,11,8,2,"G42",525.1521,1.071
103,10,8,2,"G110",508.2968,1.085
104,9,8,2,"G11",450.08975,1.073
105,8,8,2,"G85",333.31265,1.077
106,7,8,2,"G86",502.51905,1.08
107,6,8,2,"G12",465.4761964,1.049
108,5,8,2,"G77",217.8972321,1.075
109,4,8,2,"G37",NA,1.062
110,3,8,2,"G45",436.4945357,1.07
111,2,8,2,"G126",436.12635,1.077
112,1,8,2,"G19",387.8525357,1.072
113,1,9,2,"G28",362.29215,1.079
114,2,9,2,"G127",555.50495,1.077
115,3,9,2,"G58",299.1945,1.073
116,4,9,2,"G78",NA,1.077
117,5,9,2,"G108",365.13565,1.075
118,6,9,2,"G118",563.93865,1.091
119,7,9,2,"G129",NA,NA
121,9,9,2,"G103",361.9034375,1.068
122,10,9,2,"G31",423.6815,1.073
123,11,9,2,"G83",570.28125,1.081
124,12,9,2,"FILL",NA,NA
125,13,9,2,"G124",500.22005,1.074
126,14,9,2,"FILL",NA,NA
127,14,10,2,"G115",617.8623,1.074
128,13,10,2,"G87",319.71225,1.083
129,12,10,2,"G100",NA,1.05
130,11,10,2,"G67",450.94885,1.068
131,10,10,2,"G120",569.4381,1.076
132,9,10,2,"G61",348.3469,1.065
133,8,10,2,"G73",470.62345,1.074
134,7,10,2,"G96",626.3081,1.079
135,6,10,2,"G18",433.34335,1.067
136,5,10,2,"G2",518.5455,1.056
137,4,10,2,"FILL",NA,NA
138,3,10,2,"G53",NA,NA
139,2,10,2,"G22",585.8941,1.074
140,1,10,2,"G116",437.2864375,1.076
141,1,11,2,"G79",523.75455,1.085
142,2,11,2,"FILL",NA,NA
143,3,11,2,"G75",239.4711,1.079
144,4,11,2,"G93",463.2122,1.069
145,5,11,2,"G88",380.72045,1.081
146,6,11,2,"G29",461.0947,1.07
147,7,11,2,"G80",328.779,1.072
148,8,11,2,"G84",425.0805625,1.067
149,9,11,2,"G47",NA,1.062
150,10,11,2,"G46",NA,1.07
151,11,11,2,"G101",495.0473,1.072
152,12,11,2,"G105",436.9431,1.077
153,13,11,2,"G35",NA,1.074
154,14,11,2,"G112",533.776375,1.067
155,14,12,2,"G7",717.89905,1.066
156,13,12,2,"G72",434.8256,1.066
157,12,12,2,"G49",428.3778125,1.072
158,11,12,2,"G36",288.3067,1.064
159,10,12,2,"G64",519.5619,1.072
160,9,12,2,"G130",404.30775,1.057
161,8,12,2,"G107",549.1343,1.072
162,7,12,2,"G30",430.7479,1.064
163,6,12,2,"G3",468.82275,1.069
164,5,12,2,"G90",411.8114,1.073
165,4,12,2,"G21",488.05955,1.07
166,3,12,2,"G91",406.59025,1.072
167,2,12,2,"G14",NA,1.071
168,1,12,2,"G41",NA,1.06
169,1,13,2,"G89",511.0510625,1.083
170,2,13,2,"G13",411.2260625,1.064
171,3,13,2,"G40",284.9689615,1.073
172,4,13,2,"G23",446.3569,1.08
173,5,13,2,"G131",436.13845,1.082
174,6,13,2,"FILL",NA,NA
175,7,13,2,"G25",297.9811154,1.072
176,8,13,2,"G15",569.574225,1.065
177,9,13,2,"G94",352.2147115,1.06
178,10,13,2,"G119",521.5123269,1.071
179,11,13,2,"G133",275.35365,1.083
180,12,13,2,"G20",387.54485,1.074
181,13,13,2,"G70",391.74355,1.073
182,14,13,2,"G76",282.3945536,1.075
183,14,14,2,"G122",413.9894,1.073
184,13,14,2,"G95",412.22885,1.074
185,12,14,2,"G4",341.05665,1.057
186,11,14,2,"G63",291.2591,1.072
187,10,14,2,"G50",447.8706964,1.057
188,9,14,2,"G82",505.37465,1.079
189,8,14,2,"G24",364.0285,1.072
190,7,14,2,"G81",413.9939375,1.07
191,6,14,2,"G33",448.38365,1.071
192,5,14,2,"G69",239.7494,1.075
193,4,14,2,"G113",638.16005,1.08
194,3,14,2,"G111",NA,1.061
195,2,14,2,"G125",NA,1.077
196,1,14,2,"G27",399.375625,1.075
48,9,4,1,"G137",502.9607,1.077
120,8,9,2,"G137",511.23105,1.08
